tipo|titulo|autores|editorial|año|ciudad|bibliografia|link|soporte|descripcion
book|Pequeño manual de inestética|Badiou, Alain|Prometeo Libros|2009|Buenos Aires|Bibliografía Específica de la carrera|||
book|Arte y modernidad|Baudelaire, Charles|Prometeo Libros|2009|Buenos Aires|Bibliografía Específica de la carrera|||
book|Escribir en español. Claves para una corrección de estilo|García Negroni, María Marta|Santiago Arcos editor|2011|Buenos Aires|Bibliografía Específica de la carrera|||
book|Computer Music Synthesis, composition and performance|Dodge, Charles; Jerse, Thomas A|Schirmer|1997|USA|Bibliografía Específica de la carrera|||
book|El sentido del cine|Eisenstein, Sergei|Siglo Veintiuno Editorial|2006|México|Bibliografía Específica de la carrera|||
book|La forma del cine|Eisenstein, Sergei|Siglo Veintiuno Editorial|2010|México|Bibliografía Específica de la carrera|||
book|Las palabras y las cosas|Foucault, Michel|Siglo Veintiuno Editorial|2008|Buenos Aires|Bibliografía Específica de la carrera|||
book|Internet Art|Greene, Rachel|Thames and Hudson|2004|Inglaterra|Bibliografía Específica de la carrera|||
book|Computer Models of Musical Creativity|Cope, David|The MIT Press|2005|Inglaterra|Bibliografía Específica de la carrera|||
book|Pensamientos, prácticas y acciones del GAC|Carras, Rafaela|Tinta Limón|2009|Buenos Aires|Bibliografía Específica de la carrera|||
book|Collective Intelligence in Design|Architectural Design|Wiley Academy|2006|Inglaterra|Bibliografía Específica de la carrera|||
book|Techniques and Technologies in Morphogenetic Design|Architectural Design|Wiley Academy|2006|Inglaterra|Bibliografía Específica de la carrera|||
book|Interaction of Color. Revised and expanded edition.|Albers, Josef|Yale|2006|Inglaterra|Bibliografía Específica de la carrera|||
